房源id,纬度,经度,房源名称,物业类型,物业费,建造年代,容积率,绿化率,所属商圈,二手房房源数,租房源数,均价,租金价格中位数
879889,31.848257,117.120372,永和家园三期(南区),公寓,0.3元/㎡/月,暂无数据,暂无数据,20%(一般),蜀西湖,20套,91套,12518,600.0
943825,31.617219,117.8876,天巢广场,公寓,0.75元/㎡/月,2016年,1.45,30%(一般),万达,49套,暂无数据,11345,暂无数据
399262,31.87551,117.328742,百汇城市广场,公寓,1元/㎡/月,2012年,暂无数据,29%(一般),铜陵路,12套,17套,12459,1550.0
337773,31.902557,117.274787,庐阳馨苑(北区),公寓,1元/㎡/月,2010年,2.58,42%(高),海棠社区,42套,2套,17119,1300.0
828217,31.889284,117.29774,北苑新村,公寓,0.5元/㎡/月,暂无数据,暂无数据,暂无数据,白水坝,12套,4套,11463,1100.0
828227,31.878338,117.470482,斌锋观邸,公寓,1元/㎡/月,2015年,2.5,40%(高),肥东新城,25套,2套,11914,1350.0
409785,31.826719,117.24055,绿地国际花都天香苑,公寓,1.1元/㎡/月,2005年,2,50%(高),"天鹅湖,市政务办公区",77套,23套,21431,2700.0
568057,31.748953,117.274328,新年新村(西区),公寓,1元/㎡/月,2011年,暂无数据,43%(高),"南艳湖,经开周边",16套,3套,12258,1700.0
829249,31.837011,117.316672,新里海顿公馆(东区),公寓,1.1元/㎡/月,2011年,3,38%(一般),"合工大,马鞍山路,合家福",41套,9套,16024,2100.0
337411,31.836313,117.290193,美邻馨园,公寓,0.6元/㎡/月,2000年,2.16,35%(一般),"东陈岗,中铁四局",20套,2套,12756,880.0
337438,31.889023,117.325466,城市驿站,商住楼,0.6元/㎡/月,2005年,1.74,24%(一般),火车站,18套,7套,4992,900.0
338266,31.856893,117.243092,牛奶公司宿舍,公寓,0.3元/㎡/月,2000年,1.81,20%(一般),"国防科技大学,长江西路,贵池路",14套,5套,17868,1500.0
338021,31.838568,117.297924,青年小区花园村,公寓,0.9元/㎡/月,2000年,1.7,20%(一般),"东陈岗,中铁四局",16套,1套,16145,nan
793775,32.009967,117.246422,北城世纪城庆徽苑,公寓,1.28元/㎡/月,2015年,3,40%(高),"力高共和城,北城世纪城",146套,19套,11164,1000.0
828500,31.851738,117.306738,东环广场,公寓,1.36元/㎡/月,暂无数据,4.83,40%(高),"合工大,马鞍山路,合家福",4套,暂无数据,14264,暂无数据
338423,31.852969,117.238175,动力新二村,公寓,暂无数据,2000年,暂无数据,暂无数据,"黄山路,1912商业街,贵池路",8套,1套,15758,1600.0
338223,31.861922,117.258553,飞虹小区,公寓,0.5元/㎡/月,2000年,1.71,20%(一般),"五里墩,安徽农业大学,三里庵",11套,33套,14706,810.0
450120,31.867162,117.300758,省委高层,公寓,0.6元/㎡/月,2000年,暂无数据,暂无数据,"三孝口,四牌楼",12套,暂无数据,35125,暂无数据
401144,31.827006,117.491377,盛世新城,公寓,0.5元/㎡/月,2011年,2,41%(高),肥东县城,41套,4套,9290,1200.0
338098,31.878083,117.322319,凤阳三村,公寓,0.5元/㎡/月,2000年,1.31,10%(低),铜陵路,18套,5套,11086,750.0
412785,31.718258,117.18371,水岸豪庭,公寓,1.2元/㎡/月,2017年,3,40%(高),肥西县城,19套,暂无数据,13452,暂无数据
337349,31.879033,117.313193,天骄国际,公寓,0.8元/㎡/月,2007年,4,30%(一般),"三里街,胜利路",33套,34套,10765,1200.0
338353,31.865683,117.335848,航运新村,公寓,0.5元/㎡/月,1998年,1.5,10%(低),花冲公园,23套,3套,12662,1675.0
338754,31.833671,117.314782,皖东小区,公寓,0.32元/㎡/月,1999年,2,30%(一般),"合工大,马鞍山路,合家福",24套,6套,13978,2500.0
338271,31.812246,117.250257,皖西新村,公寓,暂无数据,1998年,1.25,30%(一般),"荷叶地,十五里河",5套,2套,16523,nan
337974,31.86269,117.225492,湖东新村,公寓,0.3元/㎡/月,2000年,暂无数据,40%(高),"十里庙,长江西路,凤凰城",68套,15套,14507,945.0
337937,31.874671,117.268969,琥珀北村,公寓,0.5元/㎡/月,2000年,2.5,35%(一般),"琥珀山庄,清溪路,三里庵",137套,4套,17803,1675.0
405199,31.594442,117.88917,华邦世家,公寓,1.2元/㎡/月,2013年,2.3,35%(一般),东门,57套,暂无数据,12516,暂无数据
829674,31.882254,117.468123,文一名门河畔,公寓,1元/㎡/月,暂无数据,2.2,40%(高),肥东新城,27套,6套,11879,1200.0
338322,31.842772,117.237029,华亿大厦,公寓,2元/㎡/月,暂无数据,1.32,20%(一般),"黄山路,1912商业街,黄潜望",15套,8套,17060,1650.0
579847,31.841958,117.243734,新华学府银座,公寓,1.4元/㎡/月,2013年,5.16,30%(一般),"黄山路,望江西路,肉联厂",18套,14套,17346,1650.0
337877,31.857018,117.311636,新园小区,公寓,0.5元/㎡/月,2001年,暂无数据,40%(高),"南熏门桥,芜湖路,大钟楼",24套,5套,14702,500.0
338173,31.884534,117.302138,金桥苑,公寓,暂无数据,2000年,1,20%(一般),元一时代广场,13套,3套,12143,720.0
467743,31.857739,117.303113,怡景花园,公寓,2.4元/㎡/月,2006年,暂无数据,41%(高),"南熏门桥,芜湖路,大钟楼",4套,4套,19754,8000.0
337883,31.861652,117.307052,又一居,公寓,1.2元/㎡/月,2000年,暂无数据,35%(一般),"南熏门桥,芜湖路,大钟楼",10套,11套,18190,1100.0
490753,31.96327,117.27683,中奥花园,公寓,1元/㎡/月,2011年,3,40%(高),阿奎利亚,67套,20套,10472,1000.0
802255,31.891143,117.468846,水岸城市花园,公寓,1元/㎡/月,2008年,暂无数据,暂无数据,肥东新城,3套,1套,9282,nan
879900,31.734465,117.188553,南郢小区,公寓,0.6元/㎡/月,暂无数据,暂无数据,暂无数据,肥西县城,3套,1套,7368,750.0
914917,31.874921,117.295589,四湾巷小区,公寓,暂无数据,暂无数据,暂无数据,暂无数据,"淮河路步行街,四牌楼",30套,暂无数据,21800,暂无数据
923578,31.873217,117.295252,古井百花大厦,公寓,1.8元/㎡/月,暂无数据,3,25%(一般),"淮河路步行街,四牌楼",24套,3套,13027,730.0
943853,31.798959,117.312184,信达银杏尚郡(南区),公寓,1.44元/㎡/月,2013年,2.5,40%(高),"包河周边,骆岗,包河工业园",10套,1套,20418,2300.0
406449,31.80696,117.36902,安凯北区,公寓,暂无数据,2000年,2.1,30%(一般),"葛大店,包河周边,包河工业园",13套,2套,10643,nan
441171,31.946576,117.202499,绿城雅苑,公寓,暂无数据,2014年,1.67,31%(一般),岗集,15套,1套,10004,1300.0
405299,31.705226,117.283543,滨湖顺园(北区),公寓,暂无数据,2012年,3.9,33%(一般),高速时代广场,5套,75套,11610,650.0
462798,31.871057,117.280433,博物馆宿舍,公寓,0.2元/㎡/月,2000年,1.5,40%(高),"城隍庙,三孝口",48套,1套,21953,2500.0
465700,31.784506,117.235757,明珠广场公寓,公寓,暂无数据,暂无数据,暂无数据,40%(高),明珠广场,45套,1套,10778,nan
338527,31.857288,117.286765,气象局宿舍,公寓,暂无数据,1995年,1.35,20%(一般),"南熏门桥,芜湖路,大钟楼",73套,2套,20592,2300.0
828402,31.867519,117.276818,大众巷北小区,公寓,暂无数据,1996年,暂无数据,35%(一般),三孝口,53套,4套,25223,1350.0
828531,31.889076,117.286414,窦小桥小区,公寓,0.5元/㎡/月,1998年,2,36%(一般),"蒙城路,白水坝",64套,10套,12082,1500.0
338307,31.880284,117.25511,淝滨小区,公寓,暂无数据,2000年,1.43,10%(低),"金牛路,清溪路,青阳北路",3套,13套,11703,650.0
337876,31.85479,117.309954,方圆居,公寓,1元/㎡/月,2005年,1.6,35%(一般),"南熏门桥,芜湖路,大钟楼",17套,7套,14435,500.0
379382,31.782189,117.224667,石门路小区,公寓,0.9元/㎡/月,2009年,1.3,10%(低),"中环城,明珠广场",5套,5套,16187,600.0
337498,31.884495,117.270134,天庆大厦,公寓,1.8元/㎡/月,2006年,4.8,35%(一般),亳州路,8套,2套,14534,nan
405205,31.589824,117.870767,弘宇雍景湾,公寓,0.7元/㎡/月,2012年,3,36%(一般),南门,32套,1套,10952,nan
546550,31.809972,117.303404,望湖城瑞和苑,公寓,0.9元/㎡/月,2008年,4,40%(高),"望湖城,凌大塘,高铁南站",33套,10套,20255,500.0
396363,31.815996,117.254043,金祁花园,公寓,0.5元/㎡/月,2002年,1.15,35%(一般),"天鹅湖,十五里河",9套,6套,13226,680.0
338693,31.813355,117.261387,姚公新苑,公寓,暂无数据,2005年,1.6,30%(一般),"姚公庙,南门换乘中心",18套,11套,14079,500.0
829760,31.827226,117.484608,义和家园(南区),公寓,1.8元/㎡/月,暂无数据,暂无数据,暂无数据,肥东县城,5套,2套,7166,nan
338040,31.827084,117.291906,乐天花园,公寓,1.5元/㎡/月,2000年,暂无数据,38%(一般),"宁国路,太宁路口,卫岗",22套,暂无数据,14006,暂无数据
408485,31.91178,117.291451,中铁四局生活小区,公寓,暂无数据,2000年,暂无数据,30%(一般),"菱湖公园,双凤庐阳工业园",14套,暂无数据,11425,暂无数据
504467,31.623712,117.893897,中央领域,公寓,1元/㎡/月,暂无数据,2,38%(一般),北门,6套,暂无数据,10368,暂无数据
943870,32.02185,117.254812,北城世纪城雅徽苑,公寓,1.28元/㎡/月,2016年,3,40%(高),"力高共和城,北城世纪城",69套,14套,11266,1300.0
946421,31.904235,117.314083,铁静苑三期,公寓,1.2元/㎡/月,暂无数据,暂无数据,暂无数据,瑶海公园,6套,33套,9751,1500.0
1001589,31.853817,117.140096,喜尔美菁英汇,商住楼,1元/㎡/月,暂无数据,5,23%(一般),"蜀西湖,客运西站",77套,14套,9737,1000.0
1046050,31.999666,117.264771,京冠北城华府(东区),公寓,1.5元/㎡/月,暂无数据,2.8,40%(高),"力高共和城,北城世纪城",33套,5套,12512,1000.0
337750,31.894919,117.345063,巴黎春天爱丽舍,公寓,0.65元/㎡/月,2009年,1.66,40%(高),生态公园,45套,3套,13751,1625.0
338545,31.845857,117.236484,路缘小区,公寓,0.4元/㎡/月,2000年,2.12,34%(一般),"黄山路,1912商业街,黄潜望",6套,4套,16658,498.0
337946,31.86092,117.270595,碧雨花园,公寓,0.3元/㎡/月,2000年,1.3,10%(低),"五里墩,安徽农业大学,三里庵",20套,26套,16365,820.0
372153,31.793202,117.210456,翠微北园,公寓,0.6元/㎡/月,2005年,1.68,41%(高),"港澳广场,芙蓉路",26套,6套,13353,800.0
338570,31.878749,117.259271,康居时代家园(北区),公寓,1元/㎡/月,2004年,2.15,36%(一般),"琥珀山庄,清溪路,三里庵",43套,14套,12924,800.0
829451,31.887935,117.305398,胜利新村(南区),公寓,0.6元/㎡/月,2004年,2,30%(一般),火车站,38套,3套,12018,1400.0
828191,31.859841,117.328195,宝业城市绿苑(北区),公寓,1.1元/㎡/月,2014年,1.6,50%(高),铜陵路,34套,暂无数据,15766,暂无数据
943881,31.802108,117.215251,报业园(东区),公寓,0.95元/㎡/月,2007年,1.6,44%(高),"港澳广场,禹洲天境",7套,2套,18173,nan
829403,31.870257,117.17559,山湖苑(东区),公寓,1元/㎡/月,2013年,暂无数据,35%(一般),长江西路,42套,2套,11983,1600.0
828281,31.886558,117.432801,彩虹新城北区,公寓,0.8元/㎡/月,2011年,1.45,40%(高),肥东新城,34套,2套,10788,650.0
337342,31.856837,117.249511,彩虹家园,公寓,1元/㎡/月,2005年,3.5,30%(一般),"国防科技大学,长江西路,贵池路",3套,27套,14434,850.0
413983,31.814933,117.170794,合肥昌河车城小区(东区),公寓,0.3元/㎡/月,暂无数据,暂无数据,暂无数据,肥西县城,10套,2套,12701,nan
828342,31.840991,117.141841,创新公寓,公寓,0.5元/㎡/月,暂无数据,暂无数据,暂无数据,"客运西站,蜀西湖",21套,4套,10241,1750.0
338390,31.855964,117.243835,啤酒厂宿舍,公寓,0.3元/㎡/月,1995年,1.6,10%(低),"金牛路,长江西路,青阳北路",8套,2套,12940,1650.0
828460,31.884118,117.494208,定光社区,公寓,暂无数据,暂无数据,暂无数据,43%(高),肥东县城,4套,3套,7145,700.0
829440,31.844326,117.289197,省烟草公司宿舍,公寓,0.3元/㎡/月,暂无数据,2.2,10%(低),"东陈岗,中铁四局",31套,1套,15195,nan
337516,31.884379,117.346968,格林馨园,公寓,0.9元/㎡/月,2007年,2.56,40%(高),瑶海周边,26套,29套,12667,1600.0
338282,31.764203,117.232672,公交锦绣园,公寓,0.6元/㎡/月,2008年,1.29,36%(一般),莲花路,5套,1套,12656,2600.0
405886,31.83792,117.27813,松湖苑,公寓,1.1元/㎡/月,2000年,1.8,35%(一般),"东陈岗,中铁四局",26套,7套,15224,750.0
338163,31.873441,117.334896,合浦南村,公寓,0.5元/㎡/月,2000年,1,20%(一般),"花冲公园,七里站",4套,5套,12359,1500.0
338136,31.850913,117.35692,红光新村,公寓,暂无数据,2000年,1.11,10%(低),"大通路,曙光影院",5套,4套,10460,1000.0
828903,31.962587,117.267264,恒泰成果,公寓,1元/㎡/月,2017年,2.8,35%(一般),阿奎利亚,89套,18套,11564,1240.0
376386,31.856242,117.248877,虹桥苑,公寓,1元/㎡/月,2000年,1.6,35%(一般),"国防科技大学,长江西路,贵池路",17套,5套,17856,760.0
778802,31.896851,117.456102,文一凯旋公馆,公寓,1.2元/㎡/月,暂无数据,2.6,40%(高),肥东新城,58套,暂无数据,10963,暂无数据
828932,31.83814,117.23187,华地公馆威廉公寓,公寓,1.3元/㎡/月,2015年,2.1,40%(高),"1912商业街,望江西路,黄潜望",56套,15套,20200,1700.0
338505,31.867092,117.279744,金川大厦,商住楼,0.7元/㎡/月,2006年,2.1,30%(一般),三孝口,6套,39套,8183,1600.0
374200,31.801478,117.172087,旭日长安,公寓,1.1元/㎡/月,2010年,2,40%(高),肥西县城,49套,5套,12693,1600.0
337984,31.836903,117.256287,金环花园北村,公寓,0.5元/㎡/月,2000年,2.31,40%(高),"黄山路,望江西路,安徽大学",8套,3套,15515,1650.0
399224,31.768155,117.213742,锦绣大地城(一期),公寓,1.2元/㎡/月,2013年,3.5,38%(一般),肥西县城,70套,41套,15329,700.0
338100,31.880613,117.32085,凯旋大院,公寓,0.53元/㎡/月,2000年,2.31,20%(一般),火车站,34套,7套,12925,560.0
337577,31.890264,117.315426,开源馨居,公寓,1.1元/㎡/月,2006年,2.48,35%(一般),火车站,14套,3套,11647,2400.0
455990,31.901396,117.336244,利港尚公馆,公寓,1.1元/㎡/月,2012年,3.5,45%(高),生态公园,82套,10套,13548,2025.0
451099,31.874945,117.392504,龙湖别墅,别墅,暂无数据,暂无数据,暂无数据,20%(一般),"龙岗,琥珀名城",4套,暂无数据,13612,暂无数据
801988,31.893822,117.451953,斌锋中心城,公寓,1.3元/㎡/月,2016年,2.5,40%(高),肥东新城,35套,6套,11291,650.0
944275,31.896362,117.331896,华府竹丝苑北苑,公寓,0.5元/㎡/月,2007年,2.39,32%(一般),瑶海公园,29套,4套,13906,nan
944269,31.888514,117.453347,御景花园北区,公寓,1.2元/㎡/月,2011年,1.9,40%(高),肥东新城,71套,5套,11820,1425.0
944647,31.603942,117.859471,花园小区,公寓,暂无数据,暂无数据,暂无数据,暂无数据,西门,7套,暂无数据,8986,暂无数据
951346,31.868009,117.384946,裕存堂花园,公寓,暂无数据,暂无数据,暂无数据,暂无数据,龙岗,3套,1套,9230,nan
338412,31.871178,117.290402,安徽日报社宿舍大院,公寓,暂无数据,2002年,2.5,15%(低),"城隍庙,三孝口",54套,2套,32290,nan
829171,31.923902,117.335324,蓝领公寓,公寓,1元/㎡/月,2013年,暂无数据,暂无数据,陶冲湖,4套,暂无数据,9241,暂无数据
879940,31.840719,117.309389,万振逍遥苑(二期别墅),别墅,暂无数据,2011年,暂无数据,53%(高),"合工大,马鞍山路,合家福",75套,9套,15201,930.0
338299,31.814674,117.167827,合肥昌河车城小区(西区),公寓,0.5元/㎡/月,2006年,2.5,10%(低),肥西县城,12套,17套,13315,1350.0
338285,31.753157,117.225911,蓬莱花园,公寓,0.6元/㎡/月,2006年,暂无数据,45%(高),"经开周边,大学城",17套,3套,11601,650.0
375006,31.92079,117.221914,大杨花园,公寓,0.5元/㎡/月,2000年,2.3,32%(一般),大杨镇,4套,2套,9878,nan
337964,31.86067,117.241891,青阳西村,公寓,1.1元/㎡/月,2000年,2.5,26%(一般),"五里墩,长江西路,青阳北路",19套,4套,14546,590.0
337747,31.879742,117.461681,瑞士花园,公寓,1元/㎡/月,2010年,2.2,43%(高),肥东新城,45套,6套,10571,1500.0
338316,31.874902,117.320124,东苑新村,公寓,暂无数据,2004年,1.1,10%(低),三里街,21套,9套,12418,1400.0
338753,31.827332,117.208761,上铁银欣花园,公寓,1元/㎡/月,2010年,2.5,40%(高),"香樟大道,科学大道",38套,5套,16780,2100.0
378552,31.943997,117.38839,少荃家园,公寓,0.3元/㎡/月,2010年,1.2,20%(一般),职教城,1套,7套,6782,nan
399299,31.835254,117.33581,淝河大厦,公寓,0.8元/㎡/月,2011年,2.7,31%(一般),"巢湖路,五里庙,周谷堆",5套,暂无数据,6718,暂无数据
397135,31.806008,117.211284,丰朔名仕豪庭,公寓,1.2元/㎡/月,2011年,3.5,40%(高),"芙蓉路,禹洲天境",62套,4套,18201,800.0
446849,31.874011,117.287966,市一院宿舍,公寓,0.3元/㎡/月,2000年,1.2,23%(一般),三孝口,32套,2套,21284,nan
338331,31.814167,117.21753,天和园,公寓,1元/㎡/月,2009年,3,35%(一般),合肥八中,6套,暂无数据,24417,暂无数据
376888,31.882885,117.320807,万豪花园,公寓,1元/㎡/月,2000年,1,20%(一般),火车站,34套,7套,11712,800.0
828900,31.96422,117.271339,恒泰阿奎利亚但丁堡,公寓,1元/㎡/月,暂无数据,1.8,23%(一般),阿奎利亚,60套,11套,11597,1350.0
399468,31.7938,117.32183,湖畔景苑,公寓,1元/㎡/月,2014年,3.8,30%(一般),"葛大店,包河周边,包河工业园",10套,1套,14973,nan
338019,31.839446,117.288992,汇景花园,公寓,0.7元/㎡/月,2000年,2.5,40%(高),"东陈岗,中铁四局",19套,暂无数据,14634,暂无数据
404315,31.766756,117.230521,江汽五村,公寓,0.6元/㎡/月,2003年,1.3,40%(高),明珠广场,18套,1套,12839,2200.0
375224,31.901659,117.295581,杏林北村,公寓,0.6元/㎡/月,2000年,1.5,20%(一般),杏林花园,21套,8套,12178,540.0
829746,31.807192,117.163656,堰湖山庄安置小区,公寓,1.1元/㎡/月,2008年,暂无数据,暂无数据,肥西县城,17套,68套,8754,635.0
829089,31.999819,117.262593,京冠北城华府(西区),公寓,1.1元/㎡/月,2016年,2.8,40%(高),"力高共和城,北城世纪城",132套,暂无数据,11843,暂无数据
338723,31.900632,117.274401,玉翠园,公寓,1.1元/㎡/月,2010年,2.58,41%(高),海棠社区,94套,9套,17314,1600.0
401219,31.895705,117.284319,蓝筹国际,公寓,1.1元/㎡/月,2012年,暂无数据,21%(一般),海棠社区,32套,17套,14426,1700.0
808277,31.604686,117.892307,东苑新村,公寓,0.6元/㎡/月,2002年,暂无数据,暂无数据,东门,19套,暂无数据,10423,暂无数据
946416,31.610584,117.883941,向阳公寓,公寓,暂无数据,暂无数据,暂无数据,暂无数据,北门,5套,暂无数据,8001,暂无数据
995303,31.908394,117.394055,招商公园1872,公寓,1.8元/㎡/月,暂无数据,1.8,40%(高),职教城,54套,暂无数据,14473,暂无数据
828259,31.590937,117.87479,滨湖苑,公寓,0.7元/㎡/月,2008年,暂无数据,暂无数据,南门,27套,暂无数据,9154,暂无数据
480009,31.837001,117.266736,合力家园一村,公寓,0.6元/㎡/月,2000年,1.3,40%(高),"轴承厂,合作化路,南七里",51套,4套,14795,1600.0
531027,31.840391,117.267908,合力家园三村(西区),公寓,暂无数据,2000年,1.3,30%(一般),"轴承厂,合作化路,南七里",112套,2套,14995,1700.0
